Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_634.jpg;-6.750988;0;0;0.7544808;100.2356;86.44312;0.1344989;55.96898;359.9118
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_683.jpg;-4.495138;0;0;0.7522721;100.2525;86.46605;0.04200941;55.76357;359.8878
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_734.jpg;-2.248476;0;0;0.7508518;100.2774;86.50085;359.9125;55.58614;359.8697
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_782.jpg;-2.937309;0;0;0.74831;100.2938;86.5242;359.833;55.51805;359.8642
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_832.jpg;-3.693869;0;0;0.746143;100.3191;86.55885;359.7249;55.32151;359.8431
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_882.jpg;-1.348552;0;0;0.7435615;100.3358;86.58224;359.6669;55.22486;359.8421
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_932.jpg;-0.7363091;0;0;0.7415761;100.3606;86.61777;359.5998;55.18827;359.8596
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_21_982.jpg;-3.01158;0;0;0.7386265;100.3774;86.6414;359.5673;55.13191;359.8691
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_032.jpg;-3.726548;0;0;0.736367;100.4033;86.67648;359.5343;54.93312;359.8704
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_081.jpg;-1.491025;0;0;0.7336581;100.4205;86.69997;359.5217;54.82931;359.8769
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_132.jpg;-2.242253;0;0;0.7318667;100.4461;86.73545;359.5125;54.74458;359.895
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_183.jpg;-4.49165;0;0;0.7288576;100.4635;86.75893;359.5158;54.6342;359.9017
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_233.jpg;-6.770116;0;0;0.7265711;100.4904;86.79347;359.5259;54.32885;359.8884
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_282.jpg;-8.986556;0;0;0.7229502;100.5087;86.81621;359.5403;54.05657;359.8736
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_332.jpg;-11.24714;0;0;0.7200839;100.537;86.84949;359.5661;53.51371;359.832
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_383.jpg;-8.940725;0;0;0.7170073;100.556;86.87151;359.5876;53.14562;359.8046
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_434.jpg;-6.65198;0;0;0.7157904;100.5841;86.90488;359.6284;52.72524;359.7861
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_485.jpg;-8.886182;0;0;0.7130767;100.6125;86.93784;359.6696;52.29725;359.7632
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_534.jpg;-9.648088;0;0;0.7104358;100.6318;86.9593;359.6955;51.94714;359.7387
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_584.jpg;-7.37549;0;0;0.7082173;100.6605;86.99162;359.7384;51.49858;359.7188
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_634.jpg;-6.673812;0;0;0.7070293;100.6794;87.01324;359.7661;51.26654;359.7145
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_685.jpg;-8.901222;0;0;0.7040737;100.7082;87.045;359.8035;50.84595;359.697
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_734.jpg;-6.643668;0;0;0.7023782;100.7273;87.06609;359.8265;50.58655;359.6903
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_784.jpg;-4.387572;0;0;0.7004663;100.7556;87.09786;359.8583;50.3;359.6955
